Currency,CurrencyName,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Difference,Change%,LogClosingPrice
ADA,Cardano,7/24/2018,0.174266577,0.168945602,0.178790666,0.163138832,0.005341616,0.030651982,-0.758785899
ADA,Cardano,7/25/2018,0.173784437,0.174218911,0.17727279,0.16670453,-0.00048214,-0.002774357,-0.759989119
ADA,Cardano,7/26/2018,0.163736205,0.173742141,0.175945726,0.163337633,-0.010048232,-0.061368419,-0.78585528
ADA,Cardano,7/27/2018,0.168804229,0.164739548,0.16991955,0.156703617,0.005068024,0.030023087,-0.772616677
ADA,Cardano,7/28/2018,0.164928983,0.16543937,0.16609437,0.16063833,-0.003875246,-0.023496452,-0.782703019
ADA,Cardano,7/29/2018,0.166479758,0.164966353,0.168178393,0.163745052,0.001550775,0.009315096,-0.778638564
ADA,Cardano,7/30/2018,0.155249732,0.16519042,0.165466898,0.149104506,-0.011230026,-0.072335236,-0.808969141
ADA,Cardano,7/31/2018,0.14223743,0.155249163,0.155630399,0.140046496,-0.013012302,-0.091482966,-0.846986103
ADA,Cardano,8/1/2018,0.141833527,0.142667978,0.145361603,0.136504869,-0.000403903,-0.002847726,-0.848221097
ADA,Cardano,8/2/2018,0.134196563,0.141833983,0.143879045,0.130246412,-0.007636964,-0.05690879,-0.872258607
ADA,Cardano,8/3/2018,0.130978472,0.132558531,0.135463714,0.124647379,-0.003218091,-0.024569618,-0.88280008
ADA,Cardano,8/4/2018,0.127017488,0.131022519,0.134286416,0.124444447,-0.003960984,-0.031184556,-0.89613648
ADA,Cardano,8/5/2018,0.130278772,0.127046133,0.131651367,0.125103867,0.003261284,0.025033119,-0.885126344
ADA,Cardano,8/6/2018,0.128285842,0.130258722,0.136272612,0.127465873,-0.00199293,-0.015535074,-0.891821271
ADA,Cardano,8/7/2018,0.124435834,0.128285833,0.132762614,0.123194128,-0.003850008,-0.030939705,-0.905054537
ADA,Cardano,8/8/2018,0.11348408,0.12421456,0.124331861,0.110182885,-0.010951754,-0.096504761,-0.945065059
ADA,Cardano,8/9/2018,0.125783797,0.113464224,0.126472506,0.112327405,0.012299717,0.09778459,-0.900375299
ADA,Cardano,8/10/2018,0.112513606,0.125699489,0.12582062,0.11197147,-0.013270191,-0.117942989,-0.948794956
ADA,Cardano,8/11/2018,0.113428814,0.113377548,0.116305941,0.107673212,0.000915208,0.008068567,-0.945276609
ADA,Cardano,8/12/2018,0.112051402,0.113430905,0.114978367,0.109112413,-0.001377412,-0.01229268,-0.950582705
ADA,Cardano,8/13/2018,0.102806198,0.11205136,0.114604113,0.102296929,-0.009245204,-0.089928469,-0.987980702
ADA,Cardano,8/14/2018,0.092138392,0.102937143,0.103847612,0.085211031,-0.010667806,-0.115780249,-1.035559371
ADA,Cardano,8/15/2018,0.095588768,0.094337962,0.101914337,0.094260754,0.003450376,0.03609604,-1.019593136
ADA,Cardano,8/16/2018,0.094160053,0.095591542,0.098673161,0.092174603,-0.001428715,-0.01517326,-1.026133306
ADA,Cardano,8/17/2018,0.10949318,0.094183191,0.10986724,0.093571847,0.015333127,0.140037279,-0.960612931
ADA,Cardano,8/18/2018,0.099740132,0.109627951,0.112644886,0.095618616,-0.009753048,-0.097784591,-1.001130061
ADA,Cardano,8/19/2018,0.102743435,0.098674588,0.103718439,0.096623126,0.003003303,0.029231094,-0.988245919
ADA,Cardano,8/20/2018,0.094552521,0.102743116,0.103255967,0.094112122,-0.008190914,-0.086628193,-1.024326887
ADA,Cardano,8/21/2018,0.094835197,0.092381534,0.095653691,0.091000197,0.000282676,0.002980708,-1.023030449
ADA,Cardano,8/22/2018,0.089434267,0.094837697,0.101091403,0.087212786,-0.00540093,-0.06038994,-1.048496048
ADA,Cardano,8/23/2018,0.092028464,0.089818055,0.094205058,0.088702004,0.002594197,0.028189072,-1.036077826
ADA,Cardano,8/24/2018,0.09417313,0.092554836,0.094727977,0.090646096,0.002144666,0.022773651,-1.026072995
ADA,Cardano,8/25/2018,0.094479484,0.094057392,0.094753343,0.092036624,0.000306354,0.003242545,-1.024662487
ADA,Cardano,8/26/2018,0.09260717,0.09445319,0.095072871,0.090622265,-0.001872314,-0.020217808,-1.033355387
ADA,Cardano,8/27/2018,0.098686846,0.09320979,0.098908823,0.092225064,0.006079676,0.061605738,-1.005740731
ADA,Cardano,8/28/2018,0.106233374,0.09853669,0.107497542,0.098500059,0.007546528,0.071037262,-0.973739025
ADA,Cardano,8/29/2018,0.108063089,0.105655022,0.109254835,0.101582772,0.001829715,0.016931915,-0.966322622
ADA,Cardano,8/30/2018,0.099964535,0.105704172,0.107726691,0.096815542,-0.008098554,-0.081014272,-1.00015405
ADA,Cardano,8/31/2018,0.101844593,0.099964744,0.103437666,0.098614124,0.001880058,0.018460067,-0.992062023
ADA,Cardano,9/1/2018,0.107628959,0.101844593,0.110266922,0.101538722,0.005784366,0.053743584,-0.96807086
ADA,Cardano,9/2/2018,0.105623931,0.107620751,0.108191925,0.103055956,-0.002005028,-0.018982706,-0.976237673
ADA,Cardano,9/3/2018,0.120253112,0.105773549,0.122885978,0.104390759,0.014629181,0.121653243,-0.919903676
ADA,Cardano,9/4/2018,0.116351524,0.119414769,0.12905903,0.115940735,-0.003901588,-0.033532762,-0.934227924
ADA,Cardano,9/5/2018,0.092413333,0.115590841,0.117413431,0.089115518,-0.023938191,-0.259033953,-1.034265366
ADA,Cardano,9/6/2018,0.089294792,0.092413413,0.098769125,0.082959641,-0.003118541,-0.034924108,-1.04917387
ADA,Cardano,9/7/2018,0.08479077,0.090504794,0.091343629,0.083453837,-0.004504022,-0.053119249,-1.071651421
ADA,Cardano,9/8/2018,0.077768162,0.08478695,0.08576047,0.077584848,-0.007022608,-0.090301838,-1.109198165
ADA,Cardano,9/9/2018,0.076873012,0.078105909,0.081516985,0.074268947,-0.00089515,-0.011644529,-1.114226102
ADA,Cardano,9/10/2018,0.073392372,0.076877032,0.078831286,0.071897744,-0.00348064,-0.047425092,-1.134349076
ADA,Cardano,9/11/2018,0.070089422,0.073378445,0.075064537,0.066309503,-0.00330295,-0.0471248,-1.154347521
ADA,Cardano,9/12/2018,0.065840677,0.070020691,0.070690366,0.061311138,-0.004248745,-0.0645307,-1.181505712
ADA,Cardano,9/13/2018,0.069841841,0.066529613,0.071469017,0.065314874,0.004001164,0.057288925,-1.155884321
ADA,Cardano,9/14/2018,0.069539944,0.069913238,0.071218788,0.065964447,-0.000301897,-0.004341347,-1.157765663
ADA,Cardano,9/15/2018,0.069883663,0.068089849,0.070957695,0.06791603,0.000343719,0.004918446,-1.155624339
ADA,Cardano,9/16/2018,0.069941468,0.069348131,0.07031039,0.066393575,5.78E-05,0.000826477,-1.155265257
ADA,Cardano,9/17/2018,0.063554167,0.069941077,0.070529774,0.063041514,-0.006387301,-0.100501687,-1.196855969
ADA,Cardano,9/18/2018,0.069263021,0.063578744,0.070438829,0.062341966,0.005708854,0.082422827,-1.15949857
ADA,Cardano,9/19/2018,0.0714735,0.069272569,0.074593769,0.066498685,0.002210479,0.030927253,-1.14585495
ADA,Cardano,9/20/2018,0.083329115,0.072124923,0.086701386,0.071198989,0.011855615,0.142274582,-1.079203231
ADA,Cardano,9/21/2018,0.086554144,0.083329115,0.09206333,0.081896236,0.003225029,0.037260249,-1.062712134
ADA,Cardano,9/22/2018,0.087498202,0.086553767,0.089081436,0.082057969,0.000944058,0.010789456,-1.058000871
ADA,Cardano,9/23/2018,0.091274673,0.087498202,0.095137944,0.087278229,0.003776471,0.041374796,-1.039649714
ADA,Cardano,9/24/2018,0.080061815,0.091263497,0.091426835,0.078046608,-0.011212858,-0.140052508,-1.096574569
ADA,Cardano,9/25/2018,0.077664001,0.080061815,0.082369732,0.074983127,-0.002397814,-0.030874201,-1.10978024
ADA,Cardano,9/26/2018,0.081576047,0.07763803,0.083742612,0.077082885,0.003912046,0.047955817,-1.088437343
ADA,Cardano,9/27/2018,0.08659679,0.081578379,0.089190321,0.078519158,0.005020743,0.057978396,-1.062498206
ADA,Cardano,9/28/2018,0.082036276,0.086626364,0.088768465,0.081469125,-0.004560514,-0.055591431,-1.085994062
ADA,Cardano,9/29/2018,0.085605882,0.082023517,0.087048402,0.081485316,0.003569606,0.041698139,-1.067496394
ADA,Cardano,9/30/2018,0.086163727,0.085634077,0.08802723,0.083715093,0.000557845,0.006474244,-1.064675524
ADA,Cardano,10/1/2018,0.085055556,0.086162625,0.086401004,0.083059189,-0.001108171,-0.01302879,-1.070297312
ADA,Cardano,10/2/2018,0.083363921,0.082910558,0.084069294,0.082757427,-0.001691635,-0.020292172,-1.079021867
ADA,Cardano,10/3/2018,0.080522796,0.083457474,0.083482107,0.078481351,-0.002841125,-0.035283487,-1.094081153
ADA,Cardano,10/4/2018,0.082415513,0.081124426,0.083473155,0.080726585,0.001892717,0.022965543,-1.083991034
ADA,Cardano,10/5/2018,0.083378359,0.082415339,0.084513209,0.08090819,0.000962846,0.011547913,-1.078946657
ADA,Cardano,10/6/2018,0.081662874,0.083690858,0.084358784,0.08101731,-0.001715485,-0.021006914,-1.08797534
ADA,Cardano,10/7/2018,0.083804228,0.081662892,0.084530676,0.080721719,0.002141354,0.025551861,-1.07673407
ADA,Cardano,10/8/2018,0.087132201,0.085056415,0.089007233,0.083871634,0.003327973,0.038194525,-1.059821315
ADA,Cardano,10/9/2018,0.088551773,0.087132189,0.088657762,0.084973854,0.001419572,0.016030983,-1.052802739
ADA,Cardano,10/10/2018,0.085484108,0.088550675,0.088628021,0.084500201,-0.003067665,-0.035885793,-1.068114616
ADA,Cardano,10/11/2018,0.074120053,0.085639556,0.085693559,0.072986352,-0.011364055,-0.153319575,-1.130064279
ADA,Cardano,10/12/2018,0.074575744,0.074110188,0.076997418,0.069513871,0.000455691,0.006110445,-1.127402405
